Input Voltage (V),Output Voltage (V),Output Current (A),Capacitance (uF),ESR (mΩ),Hours of Working
19.95664700174955,14.519843894803266,3.089706947546821,749.1860968210342,87.66045173760617,4811.419271594364
17.884258386287133,10.96607065892561,2.5396168760526363,187.62665684829568,90.19392006746713,902.3659820492257
19.387039892691234,9.133209828460009,4.7545361827264445,207.25430067418526,18.588961500057962,4182.889185902222
14.64905309904968,11.640139051998153,4.505772225065191,461.3785070861504,65.18780860722318,3029.2025332706276
13.29905551229972,11.578158255038343,1.2786775161957347,926.1984864588231,63.483176008996736,27.156139313714856
14.57485049103882,9.991010551522589,1.307336027120591,793.8460960639851,83.12102737403673,3543.8773697186166
19.561495768718537,9.251260854276142,4.500891620264804,729.9332065520153,58.66707256331801,4419.445197664029
18.620477725406484,9.07677116279588,2.7031334605392097,729.8553022162404,30.121969973714403,2972.094709018001
14.69005095207594,14.387120169855951,4.493867351583353,752.008727369521,7.173798535216372,4861.292580004749
19.951966936023023,10.002020817273529,4.429054094596896,680.7040450253778,92.75498170898136,1780.9158426102456
14.658079106843305,13.452965488444331,4.990845445811799,586.0034768176038,61.27945418171675,1082.7423211291975
10.818837135633405,10.747220018427532,1.6084336261321315,598.7179213534694,67.58070736947886,2638.7176524616825
15.859417255397176,8.065917081718487,1.3319252705321096,924.7235714983112,39.101675409603054,4618.590635010353
15.587761950073078,14.359291917887843,1.7962531214581703,605.6400400659661,46.924046799777884,3004.8450874633463
10.46895148968564,14.365284754558159,2.2838987770580133,763.7808937288711,91.61327487466413,2243.395033138717
19.06675517764348,14.32438232191692,3.2939777425614007,426.8318468609412,75.21064423849964,1126.4700600510503
11.453830900462474,9.481277237850417,3.4341511882946714,675.2075809093894,35.870701671480425,3641.7461178868716
17.102693444085443,12.71387110841165,0.8463404051357892,567.0355147043773,83.76258619267777,3835.7033904266746
18.766918435763777,14.687228548217046,2.7630707989380645,953.8037628362176,82.40739713042865,4500.797942784099
10.546893141290537,14.678566648455869,4.3400118846939835,321.48509712631795,4.692630507429413,130.12540192976542
13.207801049411788,13.969749399885444,1.2549762023954023,708.0260943324677,96.70919085030967,4604.690222258127
15.775766315142814,8.616010134296037,3.5805109857243074,979.016469184137,37.05098051476925,3177.440924872339
16.66179387299346,10.57441089651298,3.085254367773017,978.3510450789472,15.463311382354656,1874.9246441246737
18.275026889879463,12.755981364113486,1.8359873121002237,614.2826095395562,36.9736607231912,3663.209762085981
15.569659765953041,9.91235670764964,2.8103070293859833,884.7338034890832,71.35229275658376,2042.6762882003914
13.351935127107991,10.99731287394407,0.7349625399871751,849.731736221548,23.963410674059368,4687.189187977424
13.100279891509311,8.870802961315126,3.9889785216329545,484.03084145667253,19.050661865045434,59.78739018510315
15.878615869737338,14.663609797105522,2.8736888649548527,946.3222396432715,60.33427115040001,2879.725408594078
12.053786121525023,13.826984723726586,1.048625938658689,122.13410594220943,32.52553181234565,1090.4715596000465
13.864114290556618,12.411631282047212,2.0715947316196046,934.3365819246785,62.53976009845079,1353.1738662451587
11.003525975872687,9.808941341191735,3.805091299391262,901.2419148152576,24.100837896787983,1766.3590719470817
13.370786831378163,11.689862505693805,1.1487586865850832,830.0086725880564,53.83278860337523,462.45073659439583
15.430876375582905,13.016368099891896,2.7246588393163345,748.1413561424453,20.71540188618629,305.9900809402277
15.530303134786275,10.578459763327883,4.086841064783195,209.7033992528082,36.86153370157984,130.46811403217285
18.628112727331455,9.340522936011022,1.2721251657712336,500.0909919165799,94.08396088338459,768.3186744689291
